################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5491460716222116E-02 a       389     0    17     1     5
  2.7394365497116085E-01 a       390     0    17     1     6
  6.2908509890304651E-02 a       391     0    17     1     7
  1.3802216151152533E-01 a       392     0    17     1     8
 -6.6027824029401661E-02 a       393     0    17     1     9
 -4.5875772058475373E-02 a       394     0    17     1    10
  1.7835760231922453E-03 a       395     0    17     1    11
  5.9763873119883570E-02 a       396     0    17     1    12
  1.9981525384836683E-02 a       397     0    17     1    13
 -1.7872200908681815E-01 a       398     0    17     1    14
  4.2945843182025614E-02 a       399     0    17     1    15
 -1.9805335358454390E-01 a       400     0    17     1    16
 -7.4324069339081478E-02 a       401     0    17     1    17
 -1.4310871387512739E-01 a       402     0    17     1    18
  7.9641846434333891E-02 a       403     0    17     1    19
  1.5343150761593735E-01 a       404     0    17     1    20
 -2.8121983307499990E-02 a       405     0    17     1    21
 -1.2579737257726126E-01 a       406     0    17     1    22
 -1.1429271121767214E-01 a       407     0    17     1    23
 -3.5334754814036258E-02 a       408     0    17     1    24
 -1.1793197416857814E-02 a       409     0    18     1     1
  4.9870468733172843E-02 a       410     0    18     1     2
 -6.5064728591932602E-02 a       411     0    18     1     3
 -1.9043199151578566E-01 a       412     0    18     1     4
 -3.8488626779147682E-02 a       413     0    18     1     5
  3.6768160831169010E-02 a       414     0    18     1     6
 -2.6927049545882820E-02 a       415     0    18     1     7
 -1.0242500263868514E-02 a       416     0    18     1     8
  1.9000907351202984E-02 a       417     0    18     1     9
 -8.5708276863600968E-02 a       418     0    18     1    10
 -2.5532047824437532E-01 a       419     0    18     1    11
  4.5926714576203904E-02 a       420     0    18     1    12
  1.4450469191997029E-01 a       421     0    18     1    13
 -1.1597689782306214E-02 a       422     0    18     1    14
 -4.3578718524339019E-02 a       423     0    18     1    15
 -1.1308652925201834E-02 a       424     0    18     1    16
  2.5349829475564961E-01 a       425     0    18     1    17
  1.6200405246434315E-02 a       426     0    18     1    18
  3.3492953431811454E-02 a       427     0    18     1    19
  1.0196796890840606E-01 a       428     0    18     1    20
  2.6522781292171428E-02 a       429     0    18     1    21
 -1.9436861339564532E-02 a       430     0    18     1    22
 -3.5430534392771870E-02 a       431     0    18     1    23
 -9.1033446249003294E-02 a       432     0    18     1    24
 -2.3094019709492397E-01 a       433     0    19     1     1
 -2.6929289121339622E-01 a       434     0    19     1     2
  1.7378026806459951E-01 a       435     0    19     1     3
  2.6961152160998386E-01 a       436     0    19     1     4
 -2.5365343568114956E-01 a       437     0    19     1     5
  2.0743062221811878E-01 a       438     0    19     1     6
 -6.9328192098287611E-02 a       439     0    19     1     7
 -9.9163897071491910E-02 a       440     0    19     1     8
  2.1977474406333999E-01 a       441     0    19     1     9
 -1.8905720107559162E-01 a       442     0    19     1    10
 -1.4070723299851762E-02 a       443     0    19     1    11
  2.8394173240148285E-01 a       444     0    19     1    12
 -2.0442191091298326E-01 a       445     0    19     1    13
 -4.8815925697749910E-02 a       446     0    19     1    14
  2.4542481325791871E-01 a       447     0    19     1    15
 -9.3374640362991312E-02 a       448     0    19     1    16
  1.4305942278844855E-01 a       449     0    19     1    17
 -3.7750629574389077E-01 a       450     0    19     1    18
 -3.8687297128830192E-02 a       451     0    19     1    19
  1.2991203097657902E-01 a       452     0    19     1    20
 -5.7829853511215182E-03 a       453     0    19     1    21
  1.5859384511491295E-01 a       454     0    19     1    22
 -1.6090047984071112E-01 a       455     0    19     1    23
 -4.3599815925687554E-02 a       456     0    19     1    24
  2.2220722767750087E-01 a       457     0    20     1     1
  2.2672013719544681E-01 a       458     0    20     1     2
  4.9168753913851351E-02 a       459     0    20     1     3
 -8.4390950664851461E-01 a       460     0    20     1     4
  2.2206259394268857E-01 a       461     0    20     1     5
  3.7731800028548323E-01 a       462     0    20     1     6
 -4.7982858928173569E-02 a       463     0    20     1     7
 -1.7203994529671257E-01 a       464     0    20     1     8
  5.5519879885744161E-01 a       465     0    20     1     9
 -9.7399308381074157E-01 a       466     0    20     1    10
  2.2811709475266406E-01 a       467     0    20     1    11
  1.0514005883537196E+00 a       468     0    20     1    12
  2.5297860220849100E-01 a       469     0    20     1    13
 -1.8480368462783135E-02 a       470     0    20     1    14
 -4.2428195918669248E-01 a       471     0    20     1    15
 -4.7289285363198325E-01 a       472     0    20     1    16
 -1.5666739251938655E-01 a       473     0    20     1    17
 -2.2625184471636292E-01 a       474     0    20     1    18
 -5.7748321809479343E-02 a       475     0    20     1    19
 -1.3135651711745142E-01 a       476     0    20     1    20
 -7.6726014875311210E-01 a       477     0    20     1    21
 -5.0436906564698358E-01 a       478     0    20     1    22
  1.0065672533901919E+00 a       479     0    20     1    23
  3.1205014618551369E-01 a       480     0    20     1    24
